name,facility_type,latitude,longitude,utm_easting,utm_northing
Titahi Bay Volunteer Fire Brigade,Fire Station,-41.10860053,174.8365611,1754207.4281752557,5447561.863046046
Plimmerton Fire Station,Fire Station,-41.08262391,174.8630145,1756490.3630574648,5450398.605009045
Paekakariki Fire Station,Fire Station,-40.98545518,174.9547782,1764440.494594211,5461017.368394415
Paraparaumu Fire Station,Fire Station,-40.90571614,174.9989827,1768361.778006965,5469785.656788731
Waikanae Fire Station,Fire Station,-40.87805554,175.0473822,1772510.2763136106,5472762.171151375
Te Horo Fire Station,Fire Station,-40.80665045,175.1239117,1779151.2576805248,5480535.698286298
Tora Fire Station,Fire Station,-41.42682588,175.4715239,1806520.3498562411,5410911.261770851
Castlepoint Volunteer Fire Brigade,Fire Station,-40.89868636,176.2209569,1871322.4184614918,5467493.610014024
Riversdale Beach Volunteer Fire Brigade,Fire Station,-41.08753362,176.0710978,1857959.0585072907,5446979.894751204
Remutaka Fire Station,Fire Station,-41.12367519,175.0785566,1774487.8656220054,5445431.598561576
Herbertville Fire Station,Fire Station,-40.4918547,176.5574041,1901499.7173305205,5511567.444994272
Apiti Fire Station,Fire Station,-39.97264372,175.8702349,1845118.2336805342,5571333.029677445
