Index,sitename,antlat,antlng,utm_easting,utm_northing
279,AKL-006-024-D,-36.877607,174.65179,290714.5627,5916130.446
280,AKL-006-025-E,-36.895764,174.631567,288961.9051,5914071.232
281,AKL-006-026-F,-36.921075,174.659367,291508.3395,5911323.943
282,AKL-006-027-E,-36.909943,174.664048,291895.1,5912569.352
283,AKL-006-028-D,-36.814794,174.625643,288210.5263,5923042.335
284,AKL-006-029-C,-36.921962,174.638712,289670.6442,5911180.141
285,AKL-006-031-A,-36.882979,174.614726,287425.5813,5915452.433
286,AKL-006-032-A,-36.897004,174.647588,290393.0687,5913968.978
287,AKL-006-033-C,-36.962672,174.471445,274888.7726,5906280.632
288,AKL-006-034-A,-36.853321,174.545046,281130.0282,5918585.723
289,AKL-006-036-G,-36.841935,174.651169,290561.819,5920087.142
290,AKL-006-037-G,-36.871011,174.628265,288599.3588,5916810.46
291,AKL-006-038-C,-36.918944,174.675727,292960.065,5911596.056
292,AKL-006-040-A,-36.882725,174.632548,289013.4255,5915520.182
293,AKL-006-043-C,-36.924577,174.690053,294251.5266,5911002.056
294,AKL-006-046-A,-36.952797,174.622614,288321.8633,5907723.078
295,AKL-006-047-A,-36.896873,174.619116,287855.3571,5913920.553
296,AKL-006-048-A,-36.834117,174.603744,286310.6185,5920849.536
297,AKL-006-053-F,-36.682115,174.653839,290365.1037,5937825.888
298,AKL-006-054-B,-36.70958,174.63735,288966.6673,5934742.323
299,AKL-006-057-A,-36.791935,174.655605,290821.3164,5925644.673
300,AKL-006-073-B,-36.864011,174.602009,286239.1755,5917528.676
301,AKL-006-067-A,-36.866025,174.628988,288650.0688,5917365.296
302,AKL-006-074-A,-36.860765,174.612196,287138.4004,5917911.614
303,AKL-006-072-B,-36.908752,174.686511,293893.3809,5912750.3
304,AKL-006-063-A,-36.875361,174.638464,289520.5194,5916350.342
305,AKL-006-059-A,-36.813334,174.610903,286891.472,5923171.557
306,AKL-006-066-A,-36.886949,174.661921,291643.0361,5915116.061
307,AKL-006-068-A,-36.936679,174.609198,287082.2533,5909481.617
308,AKL-006-076-A,-36.926651,174.568001,283384.3623,5910501.462
309,AKL-006-077-A,-36.849449,174.509242,277926.1703,5918932.665
310,AKL-006-078-A,-36.926267,174.478245,275387.3388,5910336.271
311,AKL-006-079-A,-36.891614,174.449138,272691.4248,5914112.446
312,AKL-006-080-A,-36.86733,174.505454,277640.2242,5916939.765
313,AKL-006-070-A,-36.794071,174.667771,291912.7804,5925434.224
314,AKL-005-105-A,-36.832551,174.744184,298832.3353,5921328.312
