name,facility_type,latitude,longitude,utm_easting,utm_northing
Howick Police Station,Police station,-36.8983226,174.9344212,1772355.3220499891,5914659.682285678
M?ngere Police Station,Police station,-36.96739653,174.7978966,1760045.3815406938,5907234.098321192
Manurewa Police Station,Police station,-37.0214844,174.8989281,1768920.1872672767,5901058.484555664
Ormiston Police Station,Police station,-36.96252889,174.8969541,1768874.9264955379,5907603.10426476
?t?huhu Police Station,Police station,-36.94081361,174.8408034,1763922.2120381296,5910110.464812617
Papakura Central Police Station,Police station,-37.06523297,174.9452033,1772937.743188626,5896121.31681858
Photography,Police station,-36.9466449,174.845679,1764343.8922554506,5909455.094945652
P?keno Highway Patrol,Police station,-37.24433576,175.0190009,1779076.3171364511,5876112.103886062
Pukekohe Police Station,Police station,-37.20246674,174.9077399,1769300.557203565,5880962.405117037
Tuakau Police Station,Police station,-37.2581523,174.9478806,1772736.0381223788,5874711.313949076
Waiuku Police Station,Police station,-37.25084309,174.730166,1753442.4808464842,5875897.609472308
Benneydale Police Station,Police station,-38.51767072,175.3687974,1806516.9564212752,5734086.375358811
Cambridge Police Station,Police station,-37.89683618,175.4723545,1817386.566815497,5802749.194951178
Coromandel Police Station,Police station,-36.7568302,175.4985931,1823041.1776856484,5929191.354260417
Hamilton Central Police Station,Police station,-37.79297896,175.2874409,1801407.9031050599,5814689.479695986
Huntly Police Station,Police station,-37.55929247,175.16102,1790873.3139936049,5840885.732644765
Kawhia Police Station,Police station,-38.06398165,174.8214395,1759785.0010572416,5785519.8606161345
Matamata Police Station,Police station,-37.81209314,175.7741945,1844210.954446252,5811407.07958995
Morrinsville Police Station,Police station,-37.65821801,175.5295335,1823131.5890757,5829094.9639583975
Ng?ruawahia Police Station,Police station,-37.66629164,175.1509954,1789715.602884209,5829032.903575835
Ngatea Police Station,Police station,-37.27620315,175.4896875,1820737.434508912,5871581.09386964
Otorohanga Police Station,Police station,-38.18512452,175.2111173,1793652.6048701808,5771334.045679182
Paeroa Police Station,Police station,-37.38158961,175.6743061,1836777.6819393164,5859439.039249422
Piopio Police Station,Police station,-38.46588231,175.0165038,1775926.0523961696,5740566.113897352
Raglan Police Station,Police station,-37.80049325,174.8676507,1764425.2867096495,5814677.441100854
Tairua Police Station,Police station,-36.99724009,175.8496552,1853589.3603335237,5901637.049824515
Te Aroha Police Station,Police station,-37.54411775,175.7115323,1839554.684271812,5841308.416893601
Te Awamutu Central Police Station,Police station,-38.01082021,175.3242932,1804050.3986160979,5790434.940999633
Te Kauwhata Police Station,Police station,-37.40661794,175.1444816,1789798.4076038033,5857860.38228664
Te Kuiti Police Station,Police station,-38.33686302,175.1656103,1789272.2620648143,5754588.926393667
Thames Police Station,Police station,-37.13965847,175.5414264,1825732.1248005757,5886610.930349207
Waih? Police Station,Police station,-37.39225296,175.8419222,1851585.5341680774,5857821.505803872
Waikato District Headquarters,Police station,-37.79297619,175.2874397,1801407.804956035,5814689.789670679
Whangamat? Police Station,Police station,-37.20340557,175.873768,1855042.8541652272,5878693.592362891
Whitianga Police Station,Police station,-36.83594153,175.70491,1841213.7536617874,5919911.877634033
Bay of Plenty District Headquarters,Police station,-38.13600123,176.2540225,1885202.778018669,5774090.886889578
Edgecumbe Police Station,Police station,-37.97775474,176.8263478,1936105.7111429237,5789741.210225743
Katikati Police Station,Police station,-37.55623414,175.91667,1857640.0685047149,5839420.752079027
Kawerau Police Station,Police station,-38.08581435,176.7027793,1924769.4385146885,5778185.272176668
Mangakino Police Station,Police station,-38.37163206,175.7750572,1842429.8903272597,5749304.296737275
Mount Maunganui Police Station,Police station,-37.65524939,176.1967303,1882010.6192537798,5827625.691938717
Murupara Police Station,Police station,-38.45838822,176.7054517,1923344.790081388,5736815.872896184
?p?tiki Police Station,Police station,-38.0061013,177.2858935,1976344.3304210245,5784831.754441111
Papamoa Police Station,Police station,-37.69687651,176.2833103,1889488.6798374406,5822741.178136258
Put?ruru Police Station,Police station,-38.04897699,175.7792423,1843870.8736920299,5785103.799474261
Rotorua Police Station,Police station,-38.13635589,176.2540456,1885203.4210106698,5774051.449422622
T?neatua Police Station,Police station,-38.06558435,177.0036188,1951262.8471651978,5779334.503300231
Taup? Police Station,Police station,-38.68660546,176.0676051,1866825.2395747753,5713533.089847033
Tauranga Central Police Station,Police station,-37.67976459,176.1690038,1879471.9324613516,5824987.888780899
Tauranga South Police Station,Police station,-37.72594691,176.1318401,1876022.1403979484,5819972.472311844
Te Kaha Police Station,Police station,-37.7408116,177.6782325,2012293.394531792,5812626.127708754
Te Puke Police Station,Police station,-37.78162505,176.3268819,1892996.778574406,5813198.8627412105
Te Teko,Police station,-38.03646432,176.7951642,1933099.349308577,5783336.087281008
Tokoroa Police Station,Police station,-38.21706026,175.8707156,1851321.3573965726,5766204.418759847
T?rangi Police Station,Police station,-38.98993334,175.8077657,1843184.2827057221,5680589.802915314
Whakat?ne Police Station,Police station,-37.95403043,176.9944826,1950993.5095797952,5791753.546434663
Bay View Police Station,Police station,-39.42135537,176.8663185,1932845.90508676,5629326.080260899
Eastern District Headquarters,Police station,-39.64240287,176.8417273,1929679.240226411,5604874.003701509
Flaxmere Police Station,Police station,-39.62630224,176.7890229,1925230.6704499864,5606854.127187279
Gisborne Police Station,Police station,-38.66789777,178.0276899,2037508.2595224022,5708065.342353563
Hastings Police Station,Police station,-39.64240298,176.841728,1929679.2997907647,5604873.9889138825
Kotemaori Police Station,Police station,-39.06270382,177.0330217,1948977.7990937242,5668518.085588602
Mahia Police Station,Police station,-39.07716896,177.8752806,2021805.4115758794,5663332.311252741
Manutuke Police Station,Police station,-38.67941667,177.9094916,2027148.4066781364,5707345.126592816
Maraenui Police Station,Police station,-39.51522009,176.9049359,1935719.2205127892,5618760.858780207
Matawai Police Station,Police station,-38.35837544,177.5346121,1996277.3526854054,5744678.252966987
Napier Police Station,Police station,-39.49246252,176.9164689,1936821.0873678213,5621244.5018532295
P?rangahau Police Station,Police station,-40.30428494,176.6114809,1906935.7417487549,5532207.498871516
Ruatoria Police Station,Police station,-37.88805294,178.3200812,2067964.3545772387,5793241.535222964
Tamatea Police Station,Police station,-39.51053862,176.8688131,1932635.0903569567,5619414.938004048
Taradale Police Station,Police station,-39.53409253,176.8489442,1930814.3287919646,5616873.103299507
Te Araroa Police Station,Police station,-37.63448872,178.3689985,2073891.193190444,5821157.485966269
Te Karaka Police Station,Police station,-38.47082332,177.8639052,2024409.2359766827,5730721.949600593
Tokomaru Bay Police Station,Police station,-38.12579442,178.3155552,2066053.137202959,5766858.816365065
Tolaga Bay Police Station,Police station,-38.37356229,178.2981033,2062942.0435515435,5739427.544508938
